Sample	Experiment
GSM5956321	Rh30_DMSO-IgG
GSM5956322	Rh30_DMSO-IgG
GSM5956323	Rh30_DMSO-IgG
GSM5956324	Rh30_QC6350-IgG
GSM5956325	Rh30_QC6350-IgG
GSM5956326	Rh30_QC6350-IgG
GSM5956327	Rh30_DMSO-KDM4B
GSM5956328	Rh30_DMSO-KDM4B
GSM5956329	Rh30_DMSO-KDM4B
GSM5956330	Rh30_DMSO-Pax3FOXO1
GSM5956331	Rh30_DMSO-Pax3FOXO1
GSM5956332	Rh30_DMSO-Pax3FOXO1
GSM5956333	Rh30_QC6350-KDM4B
GSM5956334	Rh30_QC6350-KDM4B
GSM5956335	Rh30_QC6350-KDM4B
GSM5956336	Rh30_QC6350-Pax3FOXO1
GSM5956337	Rh30_QC6350-Pax3FOXO1
GSM5956338	Rh30_QC6350-Pax3FOXO1
